Experiment ; nb_agents ; success_rate
pyramid_range3_3d_agents ; 2 ; 1.0
pyramid_range3_3d_agents ; 3 ; 1.0
pyramid_range3_3d_agents ; 4 ; 1.0
pyramid_range3_3d_agents ; 5 ; 1.0
pyramid_range3_3d_agents ; 6 ; 1.0
pyramid_range3_3d_agents ; 7 ; 1.0
pyramid_range3_3d_agents ; 8 ; 1.0
pyramid_range3_3d_agents ; 9 ; 1.0
pyramid_range3_3d_agents ; 10 ; 1.0
pyramid_range3_3d_agents ; 11 ; 1.0
pyramid_range3_3d_agents ; 12 ; 1.0
pyramid_range3_3d_agents ; 13 ; 1.0
pyramid_range3_3d_agents ; 14 ; 1.0
pyramid_range3_3d_agents ; 15 ; 1.0
pyramid_range3_3d_agents ; 16 ; 1.0
pyramid_range3_3d_agents ; 17 ; 1.0
pyramid_range3_3d_agents ; 18 ; 1.0
pyramid_range3_3d_agents ; 19 ; 1.0
pyramid_range3_3d_agents ; 20 ; 1.0
pyramid_range3_3d_agents ; 21 ; 1.0
pyramid_range3_3d_agents ; 22 ; 1.0
pyramid_range3_3d_agents ; 23 ; 1.0
pyramid_range3_3d_agents ; 24 ; 1.0
pyramid_range3_3d_agents ; 25 ; 1.0
pyramid_range3_3d_agents ; 26 ; 1.0
pyramid_range3_3d_agents ; 27 ; 1.0
pyramid_range3_3d_agents ; 28 ; 1.0
pyramid_range3_3d_agents ; 29 ; 1.0
pyramid_range3_3d_agents ; 30 ; 1.0
pyramid_range3_3d_agents ; 31 ; 1.0
pyramid_range3_3d_agents ; 32 ; 1.0
pyramid_range3_3d_agents ; 33 ; 1.0
pyramid_range3_3d_agents ; 34 ; 1.0
pyramid_range3_3d_agents ; 35 ; 1.0
pyramid_range3_3d_agents ; 36 ; 1.0
pyramid_range3_3d_agents ; 37 ; 0.95
pyramid_range3_3d_agents ; 38 ; 0.95
pyramid_range3_3d_agents ; 39 ; 1.0
pyramid_range3_3d_agents ; 40 ; 0.85
pyramid_range3_3d_agents ; 41 ; 0.9
pyramid_range3_3d_agents ; 42 ; 0.95
pyramid_range3_3d_agents ; 43 ; 1.0
pyramid_range3_3d_agents ; 44 ; 0.85
pyramid_range3_3d_agents ; 45 ; 0.95
pyramid_range3_3d_agents ; 46 ; 0.9
pyramid_range3_3d_agents ; 47 ; 0.95
pyramid_range3_3d_agents ; 48 ; 0.95
pyramid_range3_3d_agents ; 49 ; 0.95
pyramid_range3_3d_agents ; 50 ; 1.0
pyramid_range3_3d_agents ; 51 ; 1.0
pyramid_range3_3d_agents ; 52 ; 1.0
pyramid_range3_3d_agents ; 53 ; 0.95
pyramid_range3_3d_agents ; 54 ; 0.95
pyramid_range3_3d_agents ; 55 ; 0.9
pyramid_range3_3d_agents ; 56 ; 0.9
pyramid_range3_3d_agents ; 57 ; 0.95
pyramid_range3_3d_agents ; 58 ; 1.0
pyramid_range3_3d_agents ; 59 ; 1.0
pyramid_range3_3d_agents ; 60 ; 0.95
pyramid_range3_3d_agents ; 61 ; 1.0
pyramid_range3_3d_agents ; 62 ; 0.9
pyramid_range3_3d_agents ; 63 ; 0.9
pyramid_range3_3d_agents ; 64 ; 0.95
pyramid_range3_3d_agents ; 65 ; 0.85
pyramid_range3_3d_agents ; 66 ; 1.0
pyramid_range3_3d_agents ; 67 ; 0.8
pyramid_range3_3d_agents ; 68 ; 0.95
pyramid_range3_3d_agents ; 69 ; 0.95
pyramid_range3_3d_agents ; 70 ; 0.85
pyramid_range3_3d_agents ; 71 ; 0.95
pyramid_range3_3d_agents ; 72 ; 0.95
pyramid_range3_3d_agents ; 73 ; 0.95
pyramid_range3_3d_agents ; 74 ; 0.95
pyramid_range3_3d_agents ; 75 ; 0.75
pyramid_range3_3d_agents ; 76 ; 0.85
pyramid_range3_3d_agents ; 77 ; 0.85
pyramid_range3_3d_agents ; 78 ; 0.85
pyramid_range3_3d_agents ; 79 ; 0.9
pyramid_range3_3d_agents ; 80 ; 0.85
