Experiment ; nb_agents ; success_rate
pyramid_range3_3d_agents ; 2 ; 1.0
pyramid_range3_3d_agents ; 3 ; 1.0
pyramid_range3_3d_agents ; 4 ; 1.0
pyramid_range3_3d_agents ; 5 ; 1.0
pyramid_range3_3d_agents ; 6 ; 0.95
pyramid_range3_3d_agents ; 7 ; 0.95
pyramid_range3_3d_agents ; 8 ; 0.85
pyramid_range3_3d_agents ; 9 ; 0.95
pyramid_range3_3d_agents ; 10 ; 0.75
pyramid_range3_3d_agents ; 11 ; 0.75
pyramid_range3_3d_agents ; 12 ; 0.8
pyramid_range3_3d_agents ; 13 ; 1.0
pyramid_range3_3d_agents ; 14 ; 0.6
pyramid_range3_3d_agents ; 15 ; 0.7
pyramid_range3_3d_agents ; 16 ; 0.7
pyramid_range3_3d_agents ; 17 ; 0.65
pyramid_range3_3d_agents ; 18 ; 0.7
pyramid_range3_3d_agents ; 19 ; 0.6
pyramid_range3_3d_agents ; 20 ; 0.55
pyramid_range3_3d_agents ; 21 ; 0.55
pyramid_range3_3d_agents ; 22 ; 0.5
pyramid_range3_3d_agents ; 23 ; 0.45
pyramid_range3_3d_agents ; 24 ; 0.35
pyramid_range3_3d_agents ; 25 ; 0.5
pyramid_range3_3d_agents ; 26 ; 0.4
pyramid_range3_3d_agents ; 27 ; 0.5
pyramid_range3_3d_agents ; 28 ; 0.55
pyramid_range3_3d_agents ; 29 ; 0.5
pyramid_range3_3d_agents ; 30 ; 0.35
pyramid_range3_3d_agents ; 31 ; 0.6
pyramid_range3_3d_agents ; 32 ; 0.5
pyramid_range3_3d_agents ; 33 ; 0.55
pyramid_range3_3d_agents ; 34 ; 0.45
pyramid_range3_3d_agents ; 35 ; 0.6
pyramid_range3_3d_agents ; 36 ; 0.3
pyramid_range3_3d_agents ; 37 ; 0.3
pyramid_range3_3d_agents ; 38 ; 0.25
pyramid_range3_3d_agents ; 39 ; 0.35
pyramid_range3_3d_agents ; 40 ; 0.2
pyramid_range3_3d_agents ; 41 ; 0.35
pyramid_range3_3d_agents ; 42 ; 0.3
pyramid_range3_3d_agents ; 43 ; 0.25
pyramid_range3_3d_agents ; 44 ; 0.35
pyramid_range3_3d_agents ; 45 ; 0.15
pyramid_range3_3d_agents ; 46 ; 0.2
pyramid_range3_3d_agents ; 47 ; 0.45
pyramid_range3_3d_agents ; 48 ; 0.15
pyramid_range3_3d_agents ; 49 ; 0.4
pyramid_range3_3d_agents ; 50 ; 0.25
pyramid_range3_3d_agents ; 51 ; 0.1
pyramid_range3_3d_agents ; 52 ; 0.2
pyramid_range3_3d_agents ; 53 ; 0.0
pyramid_range3_3d_agents ; 54 ; 0.15
pyramid_range3_3d_agents ; 55 ; 0.05
pyramid_range3_3d_agents ; 56 ; 0.05
pyramid_range3_3d_agents ; 57 ; 0.0
pyramid_range3_3d_agents ; 58 ; 0.2
pyramid_range3_3d_agents ; 59 ; 0.0
pyramid_range3_3d_agents ; 60 ; 0.05
pyramid_range3_3d_agents ; 61 ; 0.0
pyramid_range3_3d_agents ; 62 ; 0.0
pyramid_range3_3d_agents ; 63 ; 0.05
pyramid_range3_3d_agents ; 64 ; 0.0
pyramid_range3_3d_agents ; 65 ; 0.05
pyramid_range3_3d_agents ; 66 ; 0.0
pyramid_range3_3d_agents ; 67 ; 0.0
pyramid_range3_3d_agents ; 68 ; 0.0
pyramid_range3_3d_agents ; 69 ; 0.0
pyramid_range3_3d_agents ; 70 ; 0.0
pyramid_range3_3d_agents ; 71 ; 0.0
pyramid_range3_3d_agents ; 72 ; 0.0
pyramid_range3_3d_agents ; 73 ; 0.0
pyramid_range3_3d_agents ; 74 ; 0.0
pyramid_range3_3d_agents ; 75 ; 0.0
pyramid_range3_3d_agents ; 76 ; 0.0
pyramid_range3_3d_agents ; 77 ; 0.0
pyramid_range3_3d_agents ; 78 ; 0.0
pyramid_range3_3d_agents ; 79 ; 0.0
pyramid_range3_3d_agents ; 80 ; 0.0
